钉钉,钉钉
"主题: %{topic}","主题: %{topic}"
钉钉渠道测试,钉钉渠道测试
这是一条测试消息，如果您收到此消息，说明钉钉渠道配置正确。,这是一条测试消息，如果您收到此消息，说明钉钉渠道配置正确。
"Webhook URL","Webhook URL"
签名密钥,签名密钥
"加签密钥（SEC 开头）","加签密钥（SEC 开头）"
邮件,邮件
邮件渠道测试,邮件渠道测试
这是一条测试消息，如果您收到此邮件，说明邮件渠道配置正确。,这是一条测试消息，如果您收到此邮件，说明邮件渠道配置正确。
收件邮箱,收件邮箱
发件人（可选）,发件人（可选）
使用默认,使用默认
飞书,飞书
飞书渠道测试,飞书渠道测试
这是一条测试消息，如果您收到此消息，说明飞书渠道配置正确。,这是一条测试消息，如果您收到此消息，说明飞书渠道配置正确。
签名密钥（可选）,签名密钥（可选）
Telegram,Telegram
"Telegram 渠道测试","Telegram 渠道测试"
"这是一条测试消息，如果您收到了它，说明 Telegram 渠道配置是可用的。","这是一条测试消息，如果您收到了它，说明 Telegram 渠道配置是可用的。"
"Bot Token（建议填在渠道配置）","Bot Token（建议填在渠道配置）"
"Chat ID（建议填在联系人配置）","Chat ID（建议填在联系人配置）"
消息格式,消息格式
"默认 HTML","默认 HTML"
关闭链接预览,关闭链接预览
默认否,默认否
否,否
是,是
Webhook,Webhook
"Webhook 渠道测试","Webhook 渠道测试"
"这是一条测试消息，如果您的服务收到此请求，说明 Webhook 渠道配置正确。","这是一条测试消息，如果您的服务收到此请求，说明 Webhook 渠道配置正确。"
"用于生成 X-Signature 头","用于生成 X-Signature 头"
自定义请求头（可选）,自定义请求头（可选）
跳过格式不正确的菜单配置文件：%{1},跳过格式不正确的菜单配置文件：%{1}
"菜单配置错误：menu元素缺少source属性,文件：%{1}","菜单配置错误：menu元素缺少source属性,文件：%{1}"
"菜单配置错误：menu元素缺少name属性,文件：%{1}","菜单配置错误：menu元素缺少name属性,文件：%{1}"
"菜单配置错误：menu元素缺少title属性,文件：%{1}","菜单配置错误：menu元素缺少title属性,文件：%{1}"
"菜单配置错误：menu元素缺少order属性,文件：%{1}","菜单配置错误：menu元素缺少order属性,文件：%{1}"
刷新模块列表...,刷新模块列表...
"已刷新：%{1} 个激活模块","已刷新：%{1} 个激活模块"
模块刷新失败：%{1},模块刷新失败：%{1}
"开始收集模块 %{1} 的菜单...","开始收集模块 %{1} 的菜单..."
开始收集菜单...,开始收集菜单...
"未从 menu.xml 解析到任何菜单。","未从 menu.xml 解析到任何菜单。"
"发现 %{1} 个配置文件但解析失败，请检查 XML 格式。","发现 %{1} 个配置文件但解析失败，请检查 XML 格式。"
"菜单收集完成！共解析 %{1} 条菜单（来自 %{2} 个 menu.xml 文件）","菜单收集完成！共解析 %{1} 条菜单（来自 %{2} 个 menu.xml 文件）"
"新增 %{1} 条菜单：","新增 %{1} 条菜单："
"更新 %{1} 条菜单：","更新 %{1} 条菜单："
"删除 %{1} 条菜单（模块已移除）：","删除 %{1} 条菜单（模块已移除）："
"禁用 %{1} 条菜单（模块已禁用）：","禁用 %{1} 条菜单（模块已禁用）："
菜单无变化。,菜单无变化。
清理事件缓存...,清理事件缓存...
事件缓存清理失败：%{1},事件缓存清理失败：%{1}
编译插件/DI...,编译插件/DI...
DI编译失败：%{1},DI编译失败：%{1}
清理全部缓存...,清理全部缓存...
全部缓存清理完成！,全部缓存清理完成！
缓存清理失败：%{1},缓存清理失败：%{1}
清理模板缓存...,清理模板缓存...
模板缓存清理完成！,模板缓存清理完成！
模板缓存清理失败：%{1},模板缓存清理失败：%{1}
清理菜单相关缓存...,清理菜单相关缓存...
菜单相关缓存已清理！,菜单相关缓存已清理！
菜单缓存清理失败：%{1},菜单缓存清理失败：%{1}
菜单收集和系统更新完成！菜单已生效。,菜单收集和系统更新完成！菜单已生效。
"对比后端用户/角色数据与 getAclContext 结果，排查没角色或没权限。","对比后端用户/角色数据与 getAclContext 结果，排查没角色或没权限。"
"指定用户ID，不传则查 1 和 3","指定用户ID，不传则查 1 和 3"
"请指定 --username=、--user_id= 或 --email= 之一","请指定 --username=、--user_id= 或 --email= 之一"
"请指定 --role_id= 或 --role= 选择要分配的角色","请指定 --role_id= 或 --role= 选择要分配的角色"
用户不存在,用户不存在
已为用户分配角色,已为用户分配角色
该用户已拥有该角色,该用户已拥有该角色
分配失败,分配失败
"角色 ID %{id} 不存在","角色 ID %{id} 不存在"
角色名「%{name}」不存在,角色名「%{name}」不存在
暂无可用角色，请先在后台创建角色,暂无可用角色，请先在后台创建角色
可用角色：,可用角色：
为指定后台用户分配所选角色。,为指定后台用户分配所选角色。
用户名,用户名
用户ID,用户ID
邮箱,邮箱
角色ID,角色ID
角色名,角色名
显示帮助信息,显示帮助信息
分配超管,分配超管
分配其他角色,分配其他角色
已为用户分配超管角色,已为用户分配超管角色
